Celebrity,Brand,Category,Country of Birth,Gender,Race,Industry ,Birth Year,Age at Launch,Year Launched,Shade Count,Shade Inclusivity,Net Worth Year of Launch,Peak Valuation,Current Valuation,Avg Pricing (other products),Avg Pricing (Foundation),Price level,Public buzz
Hailey Bieber,Rhode,Skincare,U.S.A,Female,White,Model,1996,26,2022,N/A,N/A,"$10,000,000.00","$1,000,000,000.00","$1,000,000,000.00",$30.00,$0.00,Medium,High
Kylie Jenner,Kylie Cosmetics,Skincare/Makeup,U.S.A,Female,White,Socialite/Reality,1997,18,2015,40,High,"$250,000.00","$1,200,000,000.00","$700,000,000.00",$25.00,$36.00,Medium,High
Rihanna,Fenty,Skincare/Makeup,Trinidad & Tobago,Female,Black/African American,Musician,1988,29,2017,50,High,"$72,000,000.00","$3,000,000,000.00","$2,800,000,000.00",$40.00,$35.00,High,High
Serena Williams,WYN Beauty,Skincare/Makeup,U.S.A,Female,Black/African American,Athlete,1981,43,2024,N/A,N/A,$0.00,"$70,000,000.00","$70,000,000.00",$20.00,$20.00,Low,Low
Jennifer Aniston,LolaVie,Haircare,U.S.A,Female,White,Actor,1969,52,2021,N/A,N/A,"$15,000,000.00","$50,000,000.00","$50,000,000.00",$30.00,$0.00,Medium,Medium
Beyonce,Cécred,Haircare,U.S.A,Female,Black/African American,Musician,1981,43,2024,N/A,N/A,"$1,000,000.00","$17,000,000.00","$17,000,000.00",$40.00,$0.00,High,High
Jonathan Van Ness,JVN Hair,Haircare,U.S.A,Male,White,Socialite/Reality,1987,34,2021,N/A,N/A,"$1,700,000.00","$500,000,000.00","$1,250,000.00",$25.00,$0.00,Medium,Medium
Scarlett Johansson,The Outset,Skincare,U.S.A,Female,White,Actor,1984,38,2022,N/A,N/A,"$10,000,000.00","$40,000,000.00","$40,000,000.00",$40.00,$0.00,High,Medium
Idris  Elba,S'Able Labs,Skincare/Makeup,United Kingdom,Male,Black British,Actor,1972,48,2020,6,Low,"$500,000.00","$3,000,000.00","$3,000,000.00",$25.00,$0.00,Medium,Low
Sabrina Elba,S'Able Labs,Skincare/Makeup,Canada,Female,Black/African American,Socialite/Reality,1989,31,2020,6,Low,"$500,000.00","$3,000,000.00","$3,000,000.00",$25.00,$0.00,Medium,Low
Ariana Grande,r.e.m Beauty,Skincare/Makeup,U.S.A,Female,White,Musician,1993,28,2021,60,High,"$15,000,000.00","$15,000,000.00","$15,000,000.00",$25.00,$26.00,Medium,Medium
Alicia Keys,Keys Soulcare,Skincare/Makeup,U.S.A,Female,Mixed,Musician,1981,39,2020,40,High,"$10,000,000.00","$10,000,000.00","$10,000,000.00",$35.00,$0.00,Medium,Medium
Selena Gomez,Rare Beauty,Skincare/Makeup,U.S.A,Female,LatinX,Actor,1992,28,2020,48,High,"$29,200,000.00","$2,700,000,000.00","$2,700,000,000.00",$30.00,$30.00,Medium,High
Jessica Alba,Honest Company,Skincare/Makeup,U.S.A,Female,Mixed,Actor,1981,34,2015,N/A,N/A,"$1,000,000,000.00","$2,700,000,000.00","$508,000,000.00",$25.00,$0.00,Medium,High
Drew Barrymore,Flower Beauty,Skincare/Makeup,U.S.A,Female,White,Actor,1975,38,2013,18,Low,"$10,000,000.00","$50,000,000.00","$50,000,000.00",$20.00,$17.00,Low,Medium
